구분,시설명,주소,문의처,위도,경도,정원,현원
초등돌봄교실,인천마전초등학교,완정로34번길 23,032-567-0613,37.59749871,126.6709335,0,0
초등돌봄교실,인천목향초등학교,고산후로 377,032-567-2207,37.61620512,126.6943003,0,0
초등돌봄교실,인천발산초등학교,고산후로78번길 6,032-628-7474,37.59011616,126.6991478,0,0
초등돌봄교실,인천백석초등학교,청마로 55,032-590-7881,37.58980222,126.6717483,0,0
초등돌봄교실,인천봉수초등학교,봉오대로267번길 11-4,032-628-5510,37.52638812,126.6786861,138,138
초등돌봄교실,인천봉화초등학교,건지로250번길 43,032-628-7561,37.49535502,126.6703195,0,0
초등돌봄교실,인천불로초등학교,검단로744번1길 50,032-628-6644,37.61381127,126.6888476,0,0
초등돌봄교실,인천서곶초등학교,대평로56번길 9,032-561-2015,37.54784271,126.6694055,0,0
초등돌봄교실,인천석남서초등학교,건지로249번길 6,032-571-0049,37.50014147,126.6703935,0,0
초등돌봄교실,인천석남초등학교,서달로130번길 4,032-571-4965,37.50977877,126.680264,0,0
초등돌봄교실,인천신검단초등학교,금정로 55,032-500-7100,37.60908782,126.7005355,0,0
초등돌봄교실,인천신석초등학교,새오개로 9,032-572-0184,37.51050462,126.6640321,0,0
초등돌봄교실,인천신현북초등학교,원창로 147,032-572-0174,37.51838361,126.6667051,40,31
초등돌봄교실,인천신현초등학교,율도로77번길 1,032-575-0962,37.51473968,126.6701041,40,37
초등돌봄교실,인천심곡초등학교,심곡로 114,032-562-8620,37.5436333,126.6826226,40,32
초등돌봄교실,인천아라초등학교,서로2로 42,032-440-0664,37.58493755,126.7033388,0,0
초등돌봄교실,인천아람초등학교,이음1로 289,032-563-9601,37.58710386,126.7167189,0,0
초등돌봄교실,인천양지초등학교,승학로197번길 11,032-628-7000,37.54002481,126.6711946,0,0
초등돌봄교실,인천완정초등학교,완정로 99,032-569-6984,37.59847454,126.6642469,0,0
초등돌봄교실,인천왕길초등학교,봉수대로1440번길 20,032-564-4825,37.60198104,126.6510585,0,0
초등돌봄교실,인천원당초등학교,원당대로820번길 16,032-569-3084,37.59251428,126.6913305,0,0
초등돌봄교실,인천은지초등학교,승학로572번길 22,032-628-7614,37.56470084,126.6849902,0,0
초등돌봄교실,인천이음초등학교,이음1로 447,032-569-3975,37.5987693,126.7126821,0,0
초등돌봄교실,인천창신초등학교,고산후로161번길 6,032-628-6134,37.59892346,126.6982147,0,0
초등돌봄교실,인천천마초등학교,서달로 58-5,032-571-7395,37.5048986,126.6793047,0,0
초등돌봄교실,인천청라초등학교,청라에메랄드로 139,032-569-5910,37.53774888,126.6556967,96,96
초등돌봄교실,인천청람초등학교,청라커낼로 336,032-569-6912,37.53869636,126.6453133,120,117
초등돌봄교실,인천청일초등학교,크리스탈로 46,032-628-8635,37.52925923,126.6373634,0,0
초등돌봄교실,인천청호초등학교,청라한울로 44,032-456-9115,37.53864489,126.6415165,48,40
초등돌봄교실,인천초은초등학교,청라에메랄드로 33,032-569-3124,37.52842319,126.6558477,0,0
초등돌봄교실,인천한들초등학교,한중로 25,032-440-0800,37.57963661,126.6728081,0,0
초등돌봄교실,인천한별초등학교,서로3로 201,032-453-9007,37.59736864,126.7066138,0,0
초등돌봄교실,인천해든초등학교,서로3로 60,032-453-9200,37.58528544,126.7076761,0,0
초등돌봄교실,인천해원초등학교,청라사파이어로140번길 5,032-560-2213,37.52761134,126.6260936,120,119

지역아동센터,BTC 지역아동센터,심곡로 193-14,032-568-6691,,,35,0
지역아동센터,가좌 지역아동센터,"여우재로 99, 2층",032-581-9669,,,19,0
지역아동센터,검단 지역아동센터,검단로 501번길 69,070-7717-7582,,,29,0
지역아동센터,그레이스힐검단 지역아동센터,"검단로623번길 17, 2층",032-566-8920,,,32,0
지역아동센터,꿈나무 지역아동센터,"가석로156번길 14, 3층",032-577-4025,,,23,0
지역아동센터,꿈이자라는 지역아동센터,건지로318번안길 17,032-577-6239,,,35,0
지역아동센터,내일을 여는 교실 지역아동센터,"율도로 109, 202호",032-577-5218,,,35,0
지역아동센터,늘푸른 지역아동센터,"가정로126번길 29, 3층",032-575-7500,,,35,0
지역아동센터,백합 지역아동센터,"장고개로287번길 6-2, 2층",032-577-4075,,,19,0
지역아동센터,새벽공부방 지역아동센터,장고개로 264,032-582-2862,,,19,0
지역아동센터,새일꾼 지역아동센터,승학로382번길 6,032-564-0675,,,19,0
지역아동센터,샘물 지역아동센터,염곡로383번길 24,032-568-3391,,,28,0
지역아동센터,서곶 지역아동센터,"승학로287번길 27, 2층",070-7783-6900,,,25,0
지역아동센터,서구공립지역아동센터,율도로16번길 18,032-582-1701,,,29,0
지역아동센터,서로사랑하는 지역아동센터,완정로10번길 8,032-565-5060,,,25,0
지역아동센터,석남 지역아동센터,"서달로137번길 13, 2~3층",032-579-3654,,,29,0
지역아동센터,성문 지역아동센터,서달로 126,032-579-5545,,,19,0
지역아동센터,심곡 지역아동센터,"승학로 278, 301호",032-562-0691,,,33,0
지역아동센터,연희 지역아동센터,"심곡로 17, 2층",032-562-9119,,,35,0
지역아동센터,오트 지역아동센터,"서달로123번길 14, 제301호",032-573-5755,,,32,0
지역아동센터,옹기종기 지역아동센터,간촌로31번길 16,032-565-2554,,,24,0
지역아동센터,위누리 지역아동센터,길주로 142번길 24-1,032-584-2047,,,19,0
지역아동센터,은가비 지역아동센터,건지로284번길 3-4,032-576-1388,,,25,0
지역아동센터,진주공부방 지역아동센터,"신진말로33번길 8-15, 2층",032-577-2728,,,35,0
지역아동센터,푸른꿈 지역아동센터,검단로435번길 9-1,032-562-5702,,,19,0
지역아동센터,푸른솔생활학교지역아동센터,"가정로138번길 14, 2층",032-577-4009,,,31,0
지역아동센터,해바라기 지역아동센터,"열우물로 247, 5층",032-581-4043,,,35,0
지역아동센터,행복한 지역아동센터,"염곡로 307-1, 2층",032-581-7395,,,19,0
지역아동센터,행복한동산 지역아동센터,완정로178번길 52,032-563-3393,,,40,0
지역아동센터,호산나 지역아동센터,"원적로 120, 403호",070-7527-5213,,,25,0

다함께돌봄센터,다함께돌봄센터 1호점,봉오재3로 14,032-567-2123,,,20,0
다함께돌봄센터,다함께돌봄센터 2호점,"봉오재1로 49, 2층",032-710-6530,,,20,0
다함께돌봄센터,다함께돌봄센터 3호점,청마로167번길 19,032-715-7779,,,20,0
다함께돌봄센터,다함께돌봄센터 4호점,비즈니스로 166,032-566-0725,,,20,0
다함께돌봄센터,다함께돌봄센터 5호점,"가현로 41, 1층",032-563-2122,,,20,0
다함께돌봄센터,다함께돌봄센터 6호점,청라라임로85,032-567-1929,,,20,0
다함께돌봄센터,다함께돌봄센터 7호점,"이음3로 220, 1층",032-567-7123,,,35,0
다함께돌봄센터,다함께돌봄센터 8호점,"매발로 130, 1층",032-563-8174,,,20,0
다함께돌봄센터,다함께돌봄센터 9호점,"이음3로 130, 1층",032-561-1575,,,20,0
다함께돌봄센터,다함께돌봄센터 10호점,"염곡로 311번길 18-1, 2층",032-577-8208,,,20,0
다함께돌봄센터,다함께돌봄센터 11호점,"청라커낼로 163, 1층",032-569-6465,,,20,0
다함께돌봄센터,다함께돌봄센터 12호점,오동로 25,032-266-0756,,,40,0

청소년방과후아카데미,서구청소년센터,"원창로 92, 2층",032-579-1222,,,40,0
